what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337188937764
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1337188939439
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1337188944574
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1337188945575
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337188955280
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1337188956814
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1337188958844
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1337188959964
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1337188961121
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337188969048
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1337188969983
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1337188970986
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1337188977290
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337188978647
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337188980044
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1337188981657
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337189005541
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1337189009269
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1337189010492
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337189016712
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337189019636
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337189026238
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337189031298
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337189031799
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337189033703
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337189037202
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337189038257
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337189047209
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337189049774
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337189051279
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337189052532
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337189194902
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337189195904
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337189277244
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337189277355
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337189279044
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337189282256
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337189293987
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337189402970
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337189403611
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337189418543
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337189422235
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337189464328
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337189464890
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337189465520
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337189467228
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337189468314
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337189469820
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337189473544
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1337189487150
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1337189488088
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1337189488567
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337189492376
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337189496529
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1337189501795
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1337189505772
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337189514377
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337189515751
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337189517588
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337189522301
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337189524603
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337189526180
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337189538646
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337189540516
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337189542291
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337189549038
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1337189550440
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337189550744
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337189553183
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337189588872
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337189603799
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337189604278
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1337189618519
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1337189626069
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1337189631020
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1337189632150
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337189636909
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1337189643526
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337189649971
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337189651665
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337189655965
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1337189686629
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1337189690171
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1337189690383
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1337189695102
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337189700801
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337189731550
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1337189731619
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1337189732810
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1337189734428
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1337189739357
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1337189739634
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1337189755212
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337189755660
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1337189755715
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1337189755839
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337189779157
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1337189785399
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1337189786763
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1337189788127
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337189788568
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337189795570
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1337189796719
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1337189799192
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1337189800011
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337189800335
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1337189801443
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337189802767
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1337189807557
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337189811328
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337189817947
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337189818693
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1337189822033
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1337189822196
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1337189822371
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1337189822531
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1337189822686
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1337189822850
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1337189823025
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1337189823246
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1337189823545
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1337189824022
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1337189827725
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337189828004
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1337189828061
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1337189828153
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337189836423
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337189841424
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1337189843405
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337189843636
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1337189849448
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1337189855025
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1337189855578
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1337189856198
